District,H.Sec.,,,High,,,Middle,,,Primary,,,,,,,F,Female
,,,,,,,,,,,,,MM,Total,,,M,Male
,F,M,T,F,M,T,F,M,T,F,M,T,,,,,T,Total
ATTOCK,10,12,22,107,133,240,104,76,180,400,374,774,-,"1,216",,,MM,Masjid Maktab
BAHAWALNAGAR,10,8,18,111,121,232,194,131,325,775,781,"1,556",1,"2,132",,,,
BAHAWALPUR,15,13,28,91,107,198,150,103,253,550,635,"1,185",-,"1,664",,,,
BHAKKAR,6,6,12,50,84,134,106,90,196,495,435,930,-,"1,272",,,,
CHAKWAL,12,13,25,142,146,288,98,66,164,348,315,663,-,"1,140",,,,
CHINIOT,4,3,7,32,47,79,64,41,105,303,204,507,-,698,,,,
D.G. KHAN,7,10,17,55,90,145,73,96,169,534,766,"1,300",-,"1,631",,,,
FAISALABAD,39,28,67,302,234,536,278,153,431,509,669,"1,178",-,"2,212",,,,
GUJRANWALA,9,11,20,166,141,307,175,98,273,578,383,961,-,"1,561",,,,
GUJRAT,15,13,28,163,155,318,106,73,179,572,302,874,-,"1,399",,,,
HAFIZABAD,7,7,14,32,40,72,64,44,108,281,259,540,-,734,,,,
JHANG,9,11,20,87,114,201,75,77,152,742,378,"1,120",-,"1,493",,,,
JHELUM,7,4,11,90,95,185,73,38,111,314,178,492,-,799,,,,
KASUR,7,8,15,112,121,233,117,81,198,462,450,912,-,"1,358",,,,
KHANEWAL,17,14,31,105,130,235,197,135,332,420,220,640,-,"1,238",,,,
KHUSHAB,6,8,14,69,78,147,38,67,105,267,426,693,-,959,,,,
LAHORE,20,11,31,209,173,382,120,65,185,241,278,519,3,"1,120",,,,
LAYYAH,6,7,13,90,89,179,136,93,229,469,623,"1,092",-,"1,513",,,,
LODHRAN,8,6,14,46,64,110,74,63,137,312,187,499,-,760,,,,
MANDI BAHA UD DIN,10,6,16,101,89,190,80,41,121,254,200,454,-,781,,,,
MIANWALI,5,9,14,62,96,158,68,81,149,549,363,912,-,"1,233",,,,
MULTAN,12,20,32,78,135,213,110,76,186,543,343,886,-,"1,317",,,,
MUZAFFARGARH,6,14,20,69,112,181,99,112,211,668,679,"1,347",-,"1,759",,,,
NANKANA SAHIB,5,4,9,53,55,108,74,55,129,216,322,538,-,784,,,,
NAROWAL,8,13,21,99,84,183,81,61,142,523,228,751,-,"1,097",,,,
OKARA,8,7,15,109,141,250,156,79,235,432,478,910,2,"1,412",,,,
PAKPATTAN,5,6,11,44,77,121,85,51,136,268,322,590,-,858,,,,
RAHIMYAR KHAN,14,11,25,124,189,313,169,142,311,"1,059","1,067","2,126",-,"2,775",,,,
RAJANPUR,5,8,13,28,54,82,32,43,75,338,542,880,-,"1,050",,,,
RAWALPINDI,26,32,58,239,223,462,153,96,249,634,405,"1,039",-,"1,808",,,,
SAHIWAL,21,14,35,133,127,260,128,82,210,301,352,653,-,"1,158",,,,
SARGODHA,22,21,43,209,181,390,172,118,290,638,559,"1,197",2,"1,922",,,,
SHEIKHUPURA,11,7,18,84,85,169,139,80,219,309,442,751,4,"1,161",,,,
SIALKOT,23,12,35,185,123,308,164,83,247,858,343,"1,201",-,"1,791",,,,
T.T.SINGH,12,5,17,147,107,254,154,82,236,325,413,738,-,"1,245",,,,
VEHARI,12,13,25,108,106,214,159,89,248,436,500,936,-,"1,423",,,,
Grand Total,419,395,814,"3,931","4,146","8,077","4,265","2,961","7,226","16,923","15,421","32,344",12,"48,473",,,,
