Province /Gender,Male (2018-19,Female (2018-19),Total (2018-19),Male (2013-14),Female(2013-14),Total (2013-14)
LITERACY RATES (10 YEARS AND OLDER),,,,,,
Pakistan,71,49,60,70,47,58
Punjab,73,57,64,71,52,61
Sindh,68,44,57,67,43,56
Khyber Pakhtunkhwa Excluding Merged Areas,76,40,57,72,36,53
Balochistan,54,24,40,59,25,43
OUT OF SCHOOL CHILDREN AGED (5-16) YEARS,,,,,,
Pakistan,25,36,30,27,40,33
Punjab,19,23,21,22,32,27
Sindh,34,49,42,37,51,44
Khyber Pakhtunkhwa Excluding Merged Areas,19,39,28,21,43,32
Balochistan,52,67,59,39,63,51
PRIMARY GER (CLASS 1-5 & AGE 6-10),,,,,,
Pakistan,92,81,87,98,82,91
Punjab,97,93,95,105,95,100
Sindh,87,68,78,87,67,78
Khyber Pakhtunkhwa Excluding Merged Areas,98,80,89,104,80,92
Balochistan,67,46,57,83,48,66
PRIMARY NER(CLASS 1-5 &AGE 6 -10),,,,,,
Pakistan,68,63,66,69,60,65
Punjab,73,73,73,74,69,72
Sindh,64,52,58,62,50,56
Khyber Pakhtunkhwa Excluding Merged Areas,72,61,66,74,59,67
Balochistan,45,35,40,52,36,44
MIDDLE GER (CLASS 6-8 & AGE 11-13),,,,,,
Pakistan,69,56,63,66,52,59
Punjab,70,67,68,67,59,63
Sindh,62,42,53,57,45,51
"Khyber  Pakhtunkhwa
Excluding Merged Areas",85,52,69,81,49,65
Balochistan,51,33,43,64,29,48
